Momento               URI
 0                    https://www.facebook.com/MyChickenRun
 12                   http://www.youtube.com/watch?v=Eubi9YI2dKE
 0                    http://geladoesntgiveadamn.tumblr.com/
 0                    http://youtu.be/1BKO2V9EaZ0?a
 0                    http://www.instagram.com/the_sanging_rebel
 0                    http://instagram.com/teustimao/
 17                   http://blogmylunch.com
 0                    http://Facebook.com/Robbiewhaylez
 0                    http://ifoodi.blogspot.com/
 0                    http://www.talkinggoodfood.co.uk
 0                    http://facebook.com/dimano.sterling
 270                  http://www.yellowkorner.com
 0                    http://Emerald.com
 0                    http://attackontiphan.tumblr.com
 0                    http://instagram.com/xxxmn88
 0                    http://linggez-network.blogspot.com
 0                    http://Instagram.com/hellocalm_
 845                  http://www.wagamama.com
 0                    http://pennyroyaltea.co.vu
 0                    http://www.oufancyphones.com
 0                    http://www.facebook.com/rappstartailgate
 25                   http://thedaintypig.com
 0                    http://instagram.com/victorparrini
 0                    http://instagram.com/_lafamiliaonly
 0                    http://rad-acid.tumblr.com
 0                    https://www.Youtube.com/iFarLiez
 66185                http://twitter.com
 0                    http://melonpatchtv.com
 0                    http://linkd.in/1qVvTtZ
 76                   http://www.huffingtonpost.com/alex-palombo/
 0                    http://youtube.com/user/IvanAlvir
 47                   http://www.musicsumo.com
 319                  http://www.KhanaPakana.com
 0                    http://www.streetdeal.sg/home/refer/60366/1384835006?utm_medium=Friends
 2                    http://www.oliviarosenman.wordpress.com/
 0                    https://www.facebook.com/TIMLLAINE?ref=tn_tnmn#
 0                    http://Instagram.com/khourtni_hearts
 0                    http://Ask.fm/Rebecca3440
 0                    http://es.favstar.fm/users/maroto43
 0                    http://Instagram.com/princess.ri
 1                    http://byunips.tumblr.com
 1                    http://viciousnoodles.com
 2                    http://www.youtube.com/user/cece020304
 274                  http://www.rochesterbuzz.com
 0                    http://instagram.com/geneveealcala
 5                    http://soundcloud.com/sohodusk
 48                   http://ilovenudes.com
 0                    http://www.facebook.com/dedrion
 2                    http://thenegress.wordpress.com
 7                    http://manvspink.com
 0                    http://introvertedaquarius.tumblr.com
 0                    http://www.linkedin.com/in/stepru
 0                    http://www.ask.fm/MeganColby47
 0                    http://obainogeorge.blogspot.com
 0                    http://juiceboxfox.tumblr.com
 0                    http://www.facebook.com/tulargeconcept
 0                    http://www.youtube.com/user/CJL21497
 0                    http://www.hudl.com/athlete/o/3313844/highlights/101654380
 0                    http://www.vimeo.com/9713178
 0                    http://ask.fm/novenagrom
 0                    https://soundcloud.com/ragenoodles
 0                    http://annikaarguemore.co.vu
 55                   http://jchart.wordpress.com/
 5                    http://joemarchia.com
 23                   http://addalittle.wordpress.com
 127                  http://www.doesntexist.com
 0                    http://s0menak3dgirl.tumblr.com
 0                    http://andwellnot.tumblr.com/
 2                    http://www.Soesilo.ShopShaklee180.com
 0                    http://minionme07.tumblr.com
 5                    http://www.bespoke-production-machinery.com
 95                   http://marlenaspieler.com
 2                    http://ryouleo.blogspot.jp
 2                    http://largedietsoda.tumblr.com
 0                    http://instagram.com/yolasdfghjkl
 0                    http://Instagram.com/sxc_noodles
 12                   http://www.sosovintage.com
 0                    http://silenthooper.tumblr.com
 0                    http://www.instagram.com/_aaliyahmarkeiah
 0                    http://www.JasonFinestone.com
 0                    http://itsmyurls.com/optiiali
 0                    http://areyourrahji.wordpress.com
 0                    http://ireport.cnn.com/people/StoriesRise
 7                    http://amzingcee.tumblr.com
 0                    http://westside-bethcooper.tumblr.com
 6                    http://www.blogger-net.com
 6                    http://w-r-e-c-k-less.tumblr.com/
 0                    http://www.youtube.com/user/mtheatregirl15?feature=mhee
 0                    http://www.scrubandshine.net
 0                    http://ask.fm/beauwtfbrooks
 121                  http://www.onedirection.com
 0                    http://instagram.com/ethanvernon
 0                    http://ask.fm/pellumbettertellem
 0                    https://itunes.apple.com/us/album/the-intro...-ep/id767714587
 5                    http://sexonthepiano.wordpress.com/
 0                    https://twitter.com/johnsonsdickle/status/511769056567758848
 0                    http://www.facebook.com/hisfirST.laDIiii
 1                    http://inlivingbeat.wordpress.com
 7852                 http://www.facebook.com/home.php#!/pages/991-The-Sound-WVOD/53299793635
 0                    http://instagram.com/ryanclaire_
 3                    http://devinmashawn.tumblr.com
 0                    https://www.facebook.com/pages/Brittany-Uchiha/152534401495673
 0                    http://Juuthesocialite.tumblr.com
 0                    http://instagram.com/thewipal
 0                    https://plus.google.com/app/basic/115338859394470901411/about?cbp=1ty4gtl9gupzf&partnerid=operamini1104&sview=27&cid=5&soc-app=115&soc-platform=1
 0                    https://twitter.com/calum5sos/status/279692506453655552
 7113                 http://www.scmp.com
 0                    http://promobelike.viralgalleries.me/
 399                  http://www.psdschools.org
 51                   http://www.produceforkids.com
 0                    http://despoxe.tumblr.com
 1                    http://www.newslocker.com/en-uk/news/world_news/
 2                    http://smarturl.it/ArianaMyEverythingiT
 2                    http://rizkylazuardito.blogspot.com/
 0                    http://misfitalien.tumblr.com
 130                  http://topdawgmusic.com
 57                   http://www.EZProfitWeb.com
 4                    http://www.francescarossidesigns.co.uk
 0                    http://aavargi.blogspot.com
 0                    http://m.youtube.com/watch?v=JW6HfS-U0Ik
 0                    https://soundcloud.com/mrguerreromusic
 0                    http://wutuanclan.tumblr.com
 0                    http://ow.ly/z3UAx
 0                    https://www.youtube.com/channel/UClOMkx1IRwQ_blrzQdgqbNw/feed?filter=2
 397                  http://www.7perth.com.au/
 7                    http://about.me/DarrylDioso
 19                   http://www.roughpeel.co.nz
 0                    http://ask.fm/Tiga2x
 0                    http://www.hudl.com/athlete/3689450/highlights
 0                    http://rhythmoverconscious.tumblr.com/
 0                    https://twitter.com/nashgrier/status/512641921118777344
 0                    http://artistmaika.tumblr.com
 0                    http://vandal--savage.tumblr.com/
 1                    http://chocolateonmykeyboard.tumblr.com
 11                   http://www.littletravelbee.com
 1                    http://asianmacro.com/
 0                    http://www.facebook.com/cassanovase
 6                    http://www.instagram.com/bgc.12x
 49                   http://www.zhenskysait.ru
 2                    http://honey-minnie-yunnie.tumblr.com/
 0                    https://m.youtube.com/watch?v=Y3mQ27NXiTM
 1                    http://fvckyeahavengers.tumblr.com
 1                    http://admung.com
 0                    http://soundcloud.com/J_Silva_Music
 78                   http://treeofmamre.wordpress.com
 0                    http://www.youtube.com/yagurlbubbleztv
 0                    http://www.doggystyle.com.co
 0                    http://be7hyy.carbonmade.com
 5                    http://www.jonesboothcars.com
 1                    http://dasiyl0v3r.tumblr.com
