friendId   friendFriendsCount 
1          73
2          116 
3          121 
4          139
5          152 
6          153
7          161
8          197
9          265
10         266
11         266 
12         266 
13         278 
14         293 
15         323 
16         339 
17         349 
18         358 
19         361 
20         363
21         382 
22         394 
23         403 
24         403 
25         413 
26         421 
27         431 
28         432 
29         434 
30         441 
31         446 
32         450 
33         459 
34         462
35         482 
36         483
37         510
38         517
39         542 
40         545 
41         548 
42         562 
43         562 
44         570
45         576
46         580 
47         636 
48         644
49         653
50         675 
51         681 
52         685 
53         704 
54         709 
55         748 
56         755
57         756 
58         756 
59         762
60         769 
61         821 
62         841
63         847 
64         907
65         1025 
66         1129
67         1151 
68         1152 
69         1354 
70         1527 
71         1757 
72         2076
73         3956 
