Blog	nature	cream	details	lovely	yours	flight	machine	unfortunately	buying	garden	hall	previous	six	continue	exciting	drink	human	hospital	smell	h	woke	built	bear	covered	wild	november	letter	w	count	herself	greatest	nd	fear	worst	natural	letting	ate	gotten	de	calls	west	speed	obviously	showing	meaning	co	throughout	regular	artist	creative	interest	mentioned	presents	thanksgiving	north	goodbye	vacation	figured	okay	island	changing	difficult	south	cross	afraid	plane	kill	begin	moon	title	staying	created	hat	chair	seconds	cards	legs	sea	teach	drove	ya	general	crying	currently	reality	honest	fat	appreciate	station	pack	among	posts	mood	began	opening	thinks	film	chris	quality	silly	french	push	particular	ourselves	changes	hasn	jump	bet	language	nervous	program	series	january	credit	sugar	members	scene	cost	beyond	smart	radio	dr	paid	paint	tea	war	soft	immediately	dry	managed	bowl	involved	lay	eventually	background	pants	dirty	dogs	king	santa	celebration	dropped	asleep	slowly	mad	lesson	actual	healthy	fingers	result	offer	consider	river	followed	wet	easily	action	bird	david	article	halloween	contact	board	events	included	wine	magic	system	excuse	match	scared	whenever	inspired	key	dressed	cheap	adventure	include	sight	taught	skin	gotta	search	bus	comfortable	album	strange	hearing	hole	literally	mail	bottle	collection	lines	player	uncle	shower	ring	lie	performance	joined	image	packed	effort	becoming	lazy	difference	anywhere	anniversary	james	mountain	hearts	closed	february	position	seat	trust	row	apartment	focus	hill	birth	ah	rose	jesus	walls	per	serve	planning	shall	race	ends	blame	rules	besides	mini	lord	sale	seven	scary	edge	doctor	festival	discovered	friendly	michael	restaurant	despite	challenge	blast	concert	sharing	carry	videos	latest	california	pre	san	lessons	screen	grab	mixed	helps	character	laughed	faces	term	kinda	community	kiss	according	bill	boring	planned	holidays	dying	familiar	journey	stupid	further	tells	laid	shape	perhaps	angel	ha	blogs	midnight	shoot	mess	breaking	health	jack	heads	honestly	wanting	teeth	force	grade	lake	practice	reminds	apple	eve	battle	higher	cd	field	design	member	doors	checked	cheese	wanna	saved	tickets	handle	slept	reminded	camp	nobody	musical	cousin	magazine	colors	doubt	airport	studio	feelings	square	brand	ear	harder	giant	younger	shouldn	bringing	golden	crowd	teacher	pulling	expensive	finger	sometime	direction	breath	smoke	birds	students	hardly	interview	subject	common	mirror	animals	typical	bags	remembered	progress	wood	product	allowed	ears	sisters	hide	setting	press	session	checking	hadn	expected	build	issues	thankful	degrees	positive	modern	served	plenty	states	hungry	aside	tough	skills	suddenly	arm	notes	grandma	fix	sang	mid	joke	hung	cash	kinds	successful	babies	picking	daddy	national	passing	ma	guest	painting	gas	goal	pray	release	east	rolling	social	continued	shut	terrible	mary	george	parking	blow	various	rich	decision	popular	loss	talent	hilarious	describe	respect	classic	delicious	falls	pizza	certainly	coast	tom	via	student	ending	cell	otherwise	success	bye	streets	university	begins	eggs	easter	yard	youth	heading	relationship	results	forth	nose	fashion	drinking	swear	ain	distance	obvious	lonely	projects	puts	block	effect	honey	everybody	review	former	likely	numbers	female	pics	talented	fully	towards	value	shots	gifts	officially	highly	freedom	neck	agree	barely	related	mike	signed	annual	master	excitement	runs	crew	ocean	fourth	chose	sex	spread	flash	burn	pure
Kids and Cocktails	0	9	11	7	2	0	1	0	6	8	3	0	0	2	0	3	0	0	1	3	2	2	0	0	2	0	5	2	0	0	0	4	1	2	0	0	1	2	2	2	1	2	1	0	1	1	4	3	0	2	1	0	1	1	0	1	2	2	0	0	3	0	6	1	2	2	4	1	3	7	1	0	3	3	0	7	0	2	2	0	1	3	1	3	1	1	0	1	4	2	0	13	4	0	1	1	0	0	5	4	2	0	1	2	3	2	1	2	0	2	2	0	0	2	2	1	0	7	1	1	0	0	3	1	4	0	3	0	1	1	0	0	0	0	5	4	0	0	1	0	5	0	1	0	0	0	4	3	3	1	0	1	0	0	0	0	0	2	1	7	8	2	21	6	5	3	1	0	3	3	1	0	3	0	1	7	0	4	0	1	0	1	3	0	1	0	2	0	0	0	3	6	9	2	0	0	5	3	0	0	0	9	0	0	1	5	0	6	3	2	2	0	1	2	1	2	0	1	0	1	2	2	3	9	0	5	0	5	32	0	0	0	0	3	5	7	0	12	0	0	0	0	0	0	2	1	10	0	0	2	0	5	2	0	1	3	2	2	1	1	0	0	2	1	0	0	1	8	3	1	0	0	1	3	0	3	1	0	1	0	0	2	3	0	1	4	10	0	2	1	0	0	0	0	1	2	0	0	2	3	1	1	2	1	0	1	0	1	18	0	2	1	3	0	7	2	2	0	0	0	2	0	1	3	27	0	0	8	0	3	6	0	0	2	0	1	0	7	1	2	1	7	0	1	5	1	0	1	0	1	0	0	0	0	0	4	8	0	0	4	0	0	1	1	0	0	13	0	0	1	0	1	3	7	0	0	7	1	0	1	0	0	0	0	0	0	2	0	0	0	1	0	5	0	1	0	1	2	1	0	1	1	2	0	0	0	0	0	1	0	7	2	0	0	1	0	0	0	2	1	5	0	1	2	2	0	0	3	1	0	0	2	0	0	42	0	0	0	0	0	2	2	2	0	0	0	1	0	0	0	0	1	1	5	2	2	0	1	1	0	3	2	2	0	0	12	1	1	0	0	0	6	17	0	4	1	3	3	0	0	0	0	0	0	3	0	2	1	1	0	3	5	1	0	0	0	0	0	1	1
Tales From A Girl Who Trys To Get it Right	1	1	1	2	0	0	0	1	0	3	0	3	4	0	1	1	0	1	0	1	0	1	0	2	0	1	1	0	0	2	0	0	0	2	0	1	0	0	2	0	0	0	0	1	0	3	0	0	1	0	2	3	1	3	3	0	5	2	4	0	0	0	1	0	1	1	0	2	0	0	2	0	1	1	0	0	1	0	0	0	0	2	2	0	1	0	0	0	0	2	1	3	3	0	0	1	0	12	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	1	0	1	0	1	1	0	1	2	0	0	0	1	0	0	1	0	0	1	1	1	1	2	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	1	2	1	0	0	1	0	0	2	2	0	0	0	1	3	2	0	2	0	0	1	0	0	3	0	0	0	0	1	2	0	1	0	2	2	0	2	1	0	0	1	0	0	2	1	2	0	1	0	4	0	0	0	0	4	0	0	0	15	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	1	4	1	0	0	0	1	5	2	1	1	0	0	0	0	1	0	0	3	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	4	0	0	1	0	1	0	0	0	0	2	1	1	1	2	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	10	1	2	0	0	4	1	2	3	0	0	0	1	0	0	0	1	0	5	2	2	0	0	1	0	0	1	2	0	0	0	0	1	0	1	3	0	3	3	0	0	2	1	0	0	0	0	0	0	1	0	0	1	0	1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	3	0	1	1	1	0	1	0	0	2	0	0	1	1	1	0	2	0	0	0	1	0	2	0	1	0	1	1	0	0	0
Final Approach	1	0	5	0	0	27	5	4	0	0	3	9	7	3	0	4	6	0	0	0	4	1	0	1	1	1	1	1	2	1	1	3	1	1	2	2	0	1	5	5	3	4	1	2	3	0	2	1	2	0	5	3	0	0	3	0	1	1	3	0	2	8	3	3	1	5	1	1	1	9	3	2	2	1	6	5	1	0	1	0	1	2	0	1	3	0	1	2	14	0	3	4	7	14	1	1	12	1	4	0	2	2	9	4	2	2	0	5	3	2	0	17	7	3	1	4	4	4	2	2	2	0	5	0	2	2	0	5	0	11	2	4	0	2	0	1	0	0	1	0	0	1	3	2	2	0	1	1	3	6	4	3	1	3	0	8	4	0	5	0	0	2	8	2	3	0	1	16	2	7	3	6	1	2	0	0	0	3	2	1	0	1	2	8	6	0	3	2	2	1	1	1	0	2	9	5	1	0	3	2	6	1	0	8	0	0	10	2	1	1	0	0	1	0	3	12	4	1	3	2	1	1	0	1	0	3	3	1	3	2	4	1	2	5	0	2	1	1	1	0	2	1	0	1	3	5	0	1	1	1	0	1	1	2	2	0	3	0	3	2	2	4	3	1	1	2	4	0	1	2	6	1	1	3	0	2	3	4	1	4	7	1	10	1	11	5	1	1	1	1	2	1	2	0	1	0	0	4	2	1	1	2	0	1	2	3	0	4	4	2	3	4	0	2	2	0	3	4	2	0	9	0	0	0	0	5	12	0	0	4	2	1	2	0	0	3	0	2	0	1	1	2	0	1	3	1	1	2	14	4	2	7	0	1	0	4	3	2	3	0	1	0	1	2	1	0	0	1	0	10	5	1	1	0	4	2	5	0	0	0	1	3	4	2	9	3	1	0	2	0	2	5	2	3	1	3	2	0	0	3	1	2	1	0	0	1	2	1	2	2	1	3	3	0	0	1	0	0	2	1	11	0	3	3	3	1	2	0	0	2	2	0	3	3	10	31	1	1	3	5	0	1	20	4	1	0	0	1	5	10	4	1	0	1	1	0	3	0	1	0	2	1	1	4	3	9	3	1	0	9	4	0	2	0	11	2	0	0	1	0	0	0	4	1	8	1	0	0	5	1	4	10	2	3	0	4	1	0	0	0
WHAT YOU SEE IS WHAT YOU GET!	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	3	1	3	2	1	0	0	0	0	0	0	0	0	1	1	1	2	0	1	0	1	0	0	1	0	1	0	0	4	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	1	0	0	0	2	3	0	7	0	0	10	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	2	0	0	0	0	0	3	0	0	0	4	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	0	0	1	0	2	0	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	1	0	2	0	0	2	0	0	1	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ramblings of a 34B cup	6	12	6	1	11	6	7	5	3	13	5	1	4	1	1	21	4	3	11	22	1	2	7	8	8	0	3	7	12	5	10	6	6	10	6	9	5	0	7	16	7	6	2	2	2	6	2	5	7	9	4	1	0	2	2	2	0	4	2	3	2	2	4	6	0	6	7	8	3	3	2	2	10	5	6	8	12	7	5	1	105	3	2	6	2	6	30	3	8	15	4	7	10	9	4	4	3	1	5	2	2	2	5	10	0	3	1	13	2	5	4	5	0	6	14	1	2	3	10	6	2	10	3	7	4	3	8	4	8	5	4	0	3	3	4	15	4	11	5	4	4	2	2	3	4	12	1	8	7	1	7	14	6	8	5	5	1	3	0	0	9	5	12	0	3	18	4	6	6	4	2	3	4	5	5	5	3	1	0	2	7	46	3	3	6	1	1	4	9	1	2	7	1	5	3	6	6	6	5	3	2	0	6	3	4	5	3	2	2	6	0	3	3	3	3	2	5	4	4	4	1	0	7	2	2	3	10	2	4	4	14	4	2	5	5	6	9	12	5	4	3	2	0	0	3	1	2	1	5	4	0	2	10	2	7	1	8	0	8	5	7	3	5	0	3	2	5	20	1	2	3	2	1	0	1	4	0	4	11	1	2	2	4	14	2	12	8	6	4	7	4	6	12	7	2	0	3	1	8	8	2	2	18	7	8	5	2	2	12	7	7	2	4	12	3	4	4	4	1	2	0	1	7	1	7	10	1	3	3	17	3	7	5	0	1	3	3	6	5	6	2	6	7	2	3	13	2	9	0	5	2	1	2	2	4	7	13	2	1	2	6	2	2	1	7	8	11	4	3	6	1	1	2	1	9	3	3	6	1	1	1	5	9	1	3	6	2	19	4	0	7	9	3	8	2	2	7	4	5	0	2	2	3	2	10	4	1	6	17	3	1	3	2	7	5	4	1	5	0	4	1	2	7	1	6	0	1	7	0	2	5	18	7	5	12	4	0	4	2	1	5	0	0	2	5	4	10	2	4	2	8	3	12	83	11	8	10	1	4	2	2	2	5	2	13	0	2	3	10	3	1	2	2	3	0	3	3	2	11	1	3	12	2	6	0	2	4	8	3	0	4	5	1	4	2	5	6	2	16	1
When South Asia Met Allison	1	5	0	1	2	7	2	1	4	1	0	5	1	3	0	1	2	4	8	0	6	5	3	4	11	1	1	82	4	2	3	1	6	2	1	2	12	1	0	2	1	0	0	1	0	2	4	4	1	2	2	4	2	26	3	2	7	2	0	0	1	1	23	6	2	4	5	5	0	4	3	1	0	3	3	3	0	2	3	2	0	1	0	1	0	3	0	1	5	11	8	2	1	8	2	4	0	0	2	0	4	3	0	4	1	4	2	4	7	3	6	3	1	5	2	1	2	12	1	1	0	8	4	1	1	3	0	8	6	0	2	0	6	15	1	8	2	2	1	12	2	2	3	0	1	5	3	0	3	11	1	9	4	1	6	3	0	2	2	1	3	0	0	2	2	1	1	2	5	1	17	2	0	1	3	3	6	2	1	4	1	1	0	25	3	3	0	6	3	10	0	1	0	1	7	1	3	4	14	0	3	2	4	1	3	2	1	4	2	3	6	4	0	4	1	8	1	0	3	0	4	2	0	2	22	2	0	6	5	1	0	4	3	0	1	4	50	2	1	4	0	2	7	0	1	3	5	0	2	0	1	4	4	0	3	3	3	0	3	1	0	0	2	2	7	3	4	0	0	0	2	0	2	2	3	3	3	2	5	0	1	1	0	1	0	0	2	1	1	3	3	3	2	1	3	3	2	3	0	0	3	2	2	4	3	2	1	3	4	0	1	3	3	0	7	1	1	1	5	2	0	0	0	0	2	6	2	0	0	0	0	5	1	2	3	9	2	3	4	0	1	1	1	0	1	2	0	0	1	0	0	2	6	2	4	0	10	2	0	1	1	6	2	4	1	0	0	0	1	3	2	1	2	13	11	4	0	4	1	9	3	2	0	2	0	3	1	0	4	5	0	4	0	0	0	2	1	3	0	7	1	0	4	2	1	1	32	1	2	4	1	4	0	1	12	3	1	5	3	2	2	0	2	0	10	3	2	0	0	0	3	0	0	0	0	1	2	3	1	0	0	3	1	3	11	13	3	2	6	2	2	2	4	0	1	0	2	0	2	0	1	1	3	1	1	0	0	0	3	1	1	37	1	2	2	0	0	6	1	1	0	0	2	4	2	0	3	0	1	2	2	2	2	0	5	0	1	1	2	1
BLUES  BOOZE  BOOKS AND BOBS	3	10	3	1	2	8	3	16	8	3	18	14	1	7	5	11	1	0	2	4	5	3	1	37	7	13	2	3	0	0	9	0	1	6	3	0	1	14	1	5	8	3	10	1	1	12	1	3	8	3	15	17	0	2	7	0	3	1	0	7	2	1	34	10	2	4	4	2	3	6	2	7	3	3	0	0	1	1	0	4	0	3	1	0	1	3	3	2	6	2	7	10	0	35	16	2	4	3	13	1	2	0	2	2	0	4	1	2	18	2	0	13	7	3	2	11	5	5	2	0	50	1	0	6	3	3	1	16	3	2	2	5	6	1	7	0	3	7	42	2	6	2	1	1	4	0	0	1	3	5	2	4	17	6	3	3	4	6	25	15	0	3	1	7	29	26	7	1	0	1	3	0	6	5	0	1	0	14	2	2	2	4	0	5	2	277	6	28	6	1	2	4	27	12	10	0	0	4	0	3	9	4	1	10	0	1	5	1	5	26	8	3	1	4	3	6	3	6	2	2	13	0	2	17	6	1	0	2	1	7	9	6	1	1	11	1	0	1	4	1	2	1	15	6	5	4	0	1	1	2	13	1	2	2	3	20	1	11	0	0	1	6	0	1	1	0	2	1	1	4	1	38	1	2	0	4	28	2	0	3	3	1	2	4	4	0	1	5	1	6	2	3	5	1	0	1	0	2	2	4	0	6	0	3	1	2	28	3	0	8	0	1	0	1	0	0	1	0	3	3	2	28	2	2	0	3	1	20	2	6	3	11	12	3	2	0	4	2	26	1	3	0	3	2	6	1	3	14	2	0	0	3	9	2	6	4	2	2	0	5	6	1	9	2	3	3	3	9	6	3	3	1	2	0	0	4	34	6	4	4	3	0	1	1	7	1	11	0	1	8	8	0	1	22	2	12	0	3	2	2	3	2	4	2	0	0	2	29	5	30	3	7	2	2	15	29	3	1	2	11	1	7	5	25	0	6	2	67	1	0	0	7	4	14	0	2	9	1	1	14	2	3	9	10	0	0	0	2	18	2	1	2	2	5	14	0	18	2	2	6	0	5	0	5	2	3	7	3	0	3	2	0	12	2	1	3	2	0	0	13	1	2	6	1	0	22	5	2	5	5	0	3	7	12	0	3	0	4	1	3
heaven and hell	7	3	3	2	1	12	6	4	0	2	10	0	9	1	4	12	15	27	0	5	15	3	4	7	3	4	7	3	9	3	6	4	14	13	1	8	1	9	1	7	2	4	9	7	6	2	4	5	5	1	6	5	0	9	4	4	3	7	0	0	3	1	6	7	13	10	10	8	10	12	3	5	3	2	1	4	2	4	10	7	7	5	21	4	13	3	2	2	17	2	2	8	11	1	2	8	10	30	5	2	5	3	6	12	5	5	5	3	6	1	8	8	0	5	4	5	15	6	7	4	6	36	4	1	0	18	1	1	3	0	3	5	5	7	2	2	0	1	0	0	1	1	7	4	15	3	9	7	1	3	4	6	3	4	2	11	7	0	1	12	2	4	5	9	0	1	0	36	4	1	11	4	4	3	2	2	2	4	1	2	3	14	10	2	9	4	22	13	3	6	7	6	6	5	6	0	3	2	8	5	3	2	0	3	5	2	6	8	11	1	5	1	20	4	11	4	21	2	14	6	2	3	17	3	5	5	3	1	1	2	1	5	5	13	7	3	3	4	3	4	2	40	1	3	3	0	12	10	4	0	0	2	5	0	28	1	10	13	1	3	2	8	3	5	8	4	7	7	6	0	3	5	8	3	2	26	4	6	16	6	9	3	2	8	0	1	1	1	2	10	11	15	0	6	5	4	0	3	4	1	6	11	3	4	4	5	4	4	5	6	3	7	2	0	5	8	8	5	12	0	0	2	3	4	1	12	15	1	4	2	1	1	5	11	2	11	1	1	1	4	6	4	3	4	4	1	5	1	31	14	3	5	3	1	0	2	1	11	1	1	2	1	1	1	6	1	3	13	5	3	3	2	8	1	7	2	2	4	2	6	2	0	3	0	12	5	1	0	9	3	2	6	1	4	7	3	1	0	3	8	4	0	0	0	1	1	2	0	6	2	16	0	12	1	0	2	8	1	0	1	0	3	4	0	11	8	1	8	0	3	2	3	3	7	9	21	3	6	2	1	1	3	41	4	1	0	0	2	3	5	5	5	1	0	16	9	1	2	1	5	3	2	2	2	3	1	6	3	16	2	4	0	0	1	1	1	4	1	2	3	3	2	2	6	4	0	0	2	2	1	3	1	1	0	1	3	1	3	6	2
D.Focis	0	0	0	0	3	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	3	0	0	1	0	0	0	1	0	0	1	0	1	1	4	0	0	0	8	2	3	0	10	0	0	0	0	3	0	0	0	2	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	12	1	0	4	3	1	0	3	0	2	1	1	0	4	1	0	0	3	0	0	0	1	1	1	0	0	2	0	0	0	0	6	0	1	1	1	1	0	0	0	8	2	0	0	0	0	0	1	0	1	0	0	0	4	0	0	1	0	3	0	0	0	0	0	0	0	1	0	1	0	2	1	0	2	0	3	0	0	0	0	1	2	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	36	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	8	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	6	0	0	0	0	0	2	1	0	0	0	0	0	3	0	0	6	0	2	0	3	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	0	1	0	3	0	2	0	0	0	0	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	1	0	0	1	0	5	0	1	0	2	1	0	0	0	0	1	0	1	0	1	0	4	0	1	1	2	0	0	0	0	1	0	2	0	0	0	0	0	2	2	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4	0	1	0	0	1	1	1	1	1	1	0	4	0	0	0	0	0	1	0	0	1	0	0	0	2	3	0	0	0	0	0	0	0	1	1	0	3	0	0
just a steel town girl on a saturday night	9	7	2	46	8	7	4	1	1	1	3	3	1	5	18	11	11	3	7	8	8	3	3	10	5	4	2	1	8	4	3	0	23	6	7	1	8	4	3	6	7	3	9	4	3	2	3	5	3	17	7	6	2	2	4	2	5	2	35	8	4	4	7	4	7	6	1	18	4	1	1	9	5	5	5	1	6	19	4	5	3	6	4	2	9	3	7	7	5	3	10	6	7	12	2	4	37	0	8	2	6	9	7	12	9	7	1	1	10	1	3	8	6	9	10	2	4	4	7	1	2	2	4	5	1	3	6	5	5	2	0	2	7	10	6	14	3	2	3	0	0	3	7	12	6	4	5	3	8	15	0	10	12	4	3	9	6	6	7	2	0	4	3	3	6	18	6	6	2	2	2	6	11	4	3	2	9	2	6	3	3	0	3	8	8	13	17	3	4	9	1	2	4	4	2	6	2	3	3	4	0	11	2	3	1	1	16	3	1	3	24	1	5	0	3	4	3	3	21	5	3	6	4	2	3	6	4	3	9	5	13	5	3	3	0	4	4	3	0	5	8	2	6	5	5	1	3	16	4	2	4	7	1	14	5	4	1	0	1	6	2	3	2	3	4	9	3	0	1	1	3	2	7	10	6	3	9	6	3	2	1	5	5	27	0	235	7	0	12	4	0	3	1	2	6	6	5	4	3	6	12	3	3	1	1	3	1	4	12	1	4	5	11	4	2	2	3	4	5	5	0	4	4	5	1	4	8	11	8	3	2	3	7	17	1	5	4	0	2	8	2	2	5	4	1	9	17	1	2	2	8	5	1	4	2	2	3	4	14	5	5	8	3	2	2	2	6	7	1	2	5	4	4	3	6	4	2	2	1	0	2	12	4	1	15	1	1	12	2	1	2	5	4	0	15	2	17	5	1	3	8	1	0	8	1	2	1	4	7	1	7	4	3	13	1	2	3	2	4	0	3	3	6	1	6	9	3	9	5	2	10	13	11	6	1	3	7	0	7	7	5	6	2	1	3	3	1	2	6	8	1	2	2	4	10	4	3	7	5	0	3	2	2	4	0	1	0	3	1	1	0	1	8	4	11	4	7	4	6	5	1	8	1	8	3	2	1	1	3	1	5	2	5	1	2	3	5	3	0	2
